"PZ","ROG","T3","T4","T5","T6","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4"
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
0.02661,3.09008,0.16634,0.68769,0.55899,0.24023,0.1265,0.23953,0.01998,0.05988,0.24636,0.50599,0.14004,0.08667,0.01998,0.07992,51.22474,0.18661,2.42473,0.02669,0.12691
0.02669,3.08926,0.16683,0.68541,0.56015,0.24023,0.12691,0.24023,0.02004,0.06006,0.24714,0.50763,0.14021,0.08681,0.02004,0.08016,51.20796,0.18701,2.43138,0.02669,0.1265
0.02669,3.08066,0.16683,0.68691,0.56086,0.23953,0.1266,0.24023,0.01998,0.06006,0.2465,0.50638,0.13975,0.08652,0.01998,0.07992,51.0673,0.18638,2.42389,0.02661,0.12659
